Trial Name,Leading Organization,Other Leading Organization(s),Organization Type,Primary CDR Method,All CDR Methods,Status,Start of Pilot,End of Pilot,Duration of Pilot,Goals of Pilot / Field Trial,Relevance for Path to Commercial,Planned Sequestration (tons CO2),Sequestration per year (tons CO2/year),Partners or Collaborator,MRV Provider,MRV Strategy,Monitoring Platforms,Measurements,Lessons Learned,Followup Trial Expected,Location,Organization-specific: Input(s),Organization-specific: Output(s),Organization-specific: CDR Location (Requirements),Latitude,longitude,URL
"Assessing the impact of OAE on  a winter/ spring plankton community in Kiel Fjord, Germany",GEOMAR,,Research Institution,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Concluded,02/2024,March 2024,Weeks,"The goal of this study is three-fold: 1) establish potential differences in planktonic community responses an associate biogeochemical cycling upon the addtion of varying amounts of two widely proposed alkaline feedstocks (brucite and slaked lime), 2) using actual mineral feedstocks instead of simulating their addition with pre-dissolved freshwater solutions as done in many previous experiments, allowing to better assess the potential problem of secondary calcium carbonate precipitation upon reaching critical alkalinity thresholds, and 3) assess the role of seasonal variability in community responses and biogeochemical element cycling.",N/A,N/A,N/A,"Bigelow Laboratory for Ocean Sciences,Southern Cross University,University of Las Palmas Gran Canaria",Internal,"Internal, covering over 40 physical, chemical and biological parameters.","Tanks or Mesocosms,Dive teams,Bottle samples","Total alkalinity,pH,Dissolved inorganic carbon,Particulate inorganic carbon,Particulate organic carbon,Particulate organic nitrogen,Particulate organic phosphorus,Dissolved oxygen,Temperature,Salinity,Nutrients,Algal growth,Total algae,Phytoplankton,Chlorophyll-a,Biological samples,""Species richness, evenness and diversity"",Sinking speed,CTD,Dissolved organic carbon","We know that using pre-dissolved freshwater solutions to simulate mineral additions via respective particles allows for much more alkalinity to be added before secondary calcium carbonate precipitation will be observed. Hence, the need to test actual particles which are much more realistic when it comes to a real world application.","Two experiments with the same experimental set up one due summer and one in autumn in Kiel Fjord, Germany","https://www.google.de/maps/@54.3288822,10.1557869,16.92z?entry=ttu",,,,54.3288822,10.1557869,https://alkalign.ocean.dal.ca/
"Seawater sampling system and analytical method development for hypersaline brines: Orca Basin, Gulf of Mexico",Carboniferous,"""University of California, Santa Barbara""",Start-up,,"Biomass Sinking,BiCRS (Biomass with Carbon Removal and Storage),Anoxic Zone Storage",Operating,04/2023,December 2024,Months,"(1) Design system for collecting water samples in brine at specific locations and at pre-determined time points
(2) Engineering tests in lab and field
(3) Improve precision of pH and Alkalinity specifically, refine methods for other geochemical analyses in lab using brine water samples","Collecting brine samples at precise locations close to biomass will be critical to understand decomposition rates and for MRV monitoring.
Orca Basin brines are far outside normal operating conditions for most chemical and spectroscopic methods, which must be used for commercial-scale MRV.",N/A,N/A,Indiana University,Measurement-Internal,"Future MRV and net carbon removal will be validated by a third party, but procedural specifics for this pilot project are not yet defined. Water samples, experimental landers, and equipment are owned by Carboniferous and/or UCSB and all samples and experiments will be collected by Carboniferous and/or UCSB staff.","Boat-based measurements,Bottle samples,Benthic Lander,CTD","pH,Total alkalinity,Dissolved inorganic carbon,Current,Nutrients,Dissolved organic carbon,Other,Methane,Hydrogen sulfide concentration,Sulfate,Colored dissolved organic matter (cDOM) ",Laboratory analytical methods refined to achieve desired precision. Field lessons learned relate to mooring and lander recovery engineering.,"Lander experiments recovery in Spring, 2024",https://maps.app.goo.gl/HB9xDX6DmGsQeYpv9,"Organic materials,Renewable Energy",Sunk organic carbon,"Offshore,Suitable ocean conditions (general),Permittability,Anoxic Conditions,Sequestration nearby,Renewable energy nearby or self-generated",26.9165466,-91.3435211,https://www.carboniferous.co/
Assess baseline conditions and test impacts of biomass sinking in Orca Basin brine and surrounding water column,Carboniferous,"""University of California, Santa Barbara""",Start-up,,"Biomass Sinking,BiCRS (Biomass with Carbon Removal and Storage),Anoxic Zone Storage",Operating,06/2023,September 2024,Months,"(1) Understand basiline conditions in water column before biomass placement and understand any seasonal cycles
(2) Understand if any additions of DOM to surface waters while sinking cause risk to ecosystems.
(3) Develop methods to test DOM addition","Compare with future results as part of research- and commercial-scale MRV plan.

Use testing method during larger-scale biomass placement missions during research phases to inform the development of commercial-scale MRV plan.",N/A,N/A,,Measurement-Internal,"Internal. Future MRV and net carbon removal will be validated by a third party, but procedural specifics for this pilot project are not yet defined. Carboniferous and/or UCSB staff take measurements, methodologies published in literature. Sensors include standard water quality sensors on ship-board CTD, water samples taken using Niskin bottles affixed to CTD rosette, on board flow through system, over the side water sampling. ","Bottle samples,Boat-based measurements,CTD","Salinity,Temperature,pH,Total alkalinity,Dissolved inorganic carbon,Current,Nutrients,Chlorophyll-a,CTD,Other,Methane,Sulfate,Hydrogen sulfide concentration",,Continued water column profiling and surface water sampling scheduled May 2024,https://maps.app.goo.gl/HB9xDX6DmGsQeYpv9,"Organic materials,Renewable Energy",Sunk organic carbon,"Offshore,Suitable ocean conditions (general),Permittability,Anoxic Conditions,Sequestration nearby,Renewable energy nearby or self-generated",26.9165466,-91.3435211,https://www.carboniferous.co/
"Develop biomass placement operations and mooring design for placing 20T biomass in Orca Basin, Gulf of Mexico",Carboniferous,,Start-up,,"Biomass Sinking,BiCRS (Biomass with Carbon Removal and Storage),Anoxic Zone Storage",Waiting for Permit,05/2024,December 2024,Months,"(1) Understand unique engineering challenges related to hypersaline brines
(2) Design and test placement methods and arrays for 1-2T biomass packages
(3) Deploy >10 tonnes pending permit","Will determine placement method and design for EPA permitted activities, critical step in path to commercial scale.",20,,"Woods Hole Oceanographic Institutions,""University of California, Santa Barbara"",Louisiana State University","Internal,Verification-Third Party","Measurements and reporting will be done internally and verified by third party, but procedural specifics for this project are not yet finalized. Sensors for engineering tests will be owned by Carboniferous, UCSB, and/or partners.","Boat-based measurements,Autonomous Underwater Vehicles (AUV),Deep-sea cameras,CTD","Current,Temperature,Salinity,Visual,Biomass sinking speed,Sinking speed",,,https://maps.app.goo.gl/HB9xDX6DmGsQeYpv9,"Renewable Energy,Organic materials",Sunk organic carbon,"Offshore,Suitable ocean conditions (general),Permittability,Anoxic Conditions,Sequestration nearby,Renewable energy nearby or self-generated",26.9165466,-91.3435211,https://www.carboniferous.co/
Limenet La Spezia plant,Limenet,Politecnico di Milano,Start-up,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Operating,03/2024,December 2024,Months,"At La Spezia we have a small facility that can produce an equilibrated calcium bicarbonate solution at pH 8.2 starting from CO2 and Calcium hydroxide. This small plant is used to:
1) study abiotic precipitation of calcium bicarbonate at different Omega Aragonite saturation index
2) study biotic precipitation of calcium bicarbonate at different Omega Aragonite saturation index
3) study biotic impact on phytoplankton and benthos

For further detail, please feel free to link to a document or website: https://limenet.tech/en/scientific-researches/ ","This facility is helping Limenet to have process parameter characterization to know the best parameters to avoid any precipitation. Moreover, it helps us study how the ocean biota reacts with different alkalinity concentrations.",N/A,,"University of Hamburg,GEOMAR,Heriot Watt University","Verification-Third Party,Reporting-Third Party,Certification-Third Party","1.       Are you doing MRV internally or externally?
We are doing MRV internally supported by EGENIA S.r.l. consultants who guides us in the writing for being compliant with ISO 14064-2. Limenet MRV is structured into 4 modules, which comprise the entire flow process defined by Limenet, and they are: CO2 Sources, Capture, Transport and Storage.
2.       Who does the measurement and who verifies it? Please provide the names of entities if possible
Measurements will be made by Limenet scientific staff and will be verified directly in the field by a third-party verification body RINA certification following validation of the MRV protocol.
3.       Which sensors are you using and do you own these or are they in-kind contributions from a partner you selected?
During monitoring, 4 typology of sensors are used to continuously monitor pH, turbidity, alkalinity and Total Inorganic Carbon. These are the main parameters used to monitor the storage technology. The instrumentation we use are purchased from an external partner which is Ecofluid s.r.l.
4. Do you use your own autonomous platform systems or are these in-kind contributions from a partner you selected? 
We have an internal system of accounting the CO2 out facility have removed. Those data, collected into a PLC, will then be verified by a third-party verification body: RINA certification.
4.       Who defines the methodology you are verifying by?
The verification and validation process for GHG emissions and the requirements for its accreditation are specified in ISO 14064-3:2006 and ISO 14065:2007.
For further detail, please feel free to link to a document or website: https://limenet.tech/en/mrv/ ","Tanks or Mesocosms,Bottle samples,Boat-based measurements","Total alkalinity,pH,Dissolved inorganic carbon,Temperature,Salinity,Turbidity","We learned that it is possible to store CO2 in Calcium Bicarbonate at pH 8.2, having an Omega Aragonite saturation state of 7-8.

Those results will be published in a paper in Molecules in 2024.",,https://maps.app.goo.gl/txTNQQZKAqser4cj7,"Renewable Energy,Calcium hydroxide,Alkaline rocks","Dissolved inorganic carbon,Dissolved bicarbonate","Renewable energy nearby,Renewable energy nearby or self-generated",44.1012500,9.8278620,https://limenet.tech/
Sea Upwelling In Bermuda,The Sea-Upwelling Company,"Ocean Based Climate Solutions,Bermuda Institute of Ocean Sciences",Start-up,Artificial Upwelling,"Artificial Upwelling,Ocean Nutrient Fertilization,Macroalgae Sequestration,Mineral-Based Ocean Alkalinity Enhancement",Approved and in Planning Stage,06/2024,June 2024,Days,"Engineering trial of 500m depth wave-driven upwelling pump. Obtain flow rate. Obtain pump drifting rate. Demonstrate pump durability. Utilize raft deployment towed by small boat, rather than large R/V. Obtain upwelled water mixing effects into upper ocean using temperature sensors. Use a mock ""Wirewalker"" tethered to pump to assess feasibility of longer-term high resolution real-time water column biogeochemical profiling.","First stage toward an environmental impact study which could enable governmental permitting of commercial, large scale upwelling for mCDR and ocean restoration.",N/A,,,N/A,This engineering trial is not implementing our MRV strategy or methodologies.,"Boat-based measurements,Wave Pump","Current,Temperature,Wave height,Visual,Flow velocity",The drift velocity and direction is not forecastable due to numerous passing eddies.,"Longer term, 3 month trial of same pump but with biogeochemical instruments onboard and tethered downcurrent to assess productivity, net export, etc."," 32.324381°, -64.547982°","Seawater,Sunlight,Macroalgae sporophytes ,Nutrients,Renewable Energy","Grown biomass,Macroalgae biomass,Sunk organic carbon","Offshore,Suitable ocean conditions (general),No high-risk marine ecosystems,Historical MetOcean data available,Deep water,Nutrient supply,Permittability,Existing laboratories nearby,Renewable energy nearby or self-generated,High-Quality Seawater,High energy wave environment",32.3243810,-64.5479820,www.ocean-based.com
Ocean Alkalinity Enhancement Mesocosms in Shenzhen,SUSTech Southern University of Science and Technology,,"Academic,Research Institution",Mineral-Based Ocean Alkalinity Enhancement,"Mineral-Based Ocean Alkalinity Enhancement,Enhanced Weathering",Operating,06/2023,March 2025,Months,Assess side-effects of different OAE approaches under realistic environmental conditions. Estimate the efficiency of different OAE approaches and intensities contrasting seasonal and spatial gradients.,,N/A,,,Several,"MRV for the mesocosms is internal, but we selected the Bay location because there are 4 independent monitoring networks within the Bay which can be leveraged to evaluate MRV efficiency.","Tanks or Mesocosms,Bottle samples,Boat-based measurements,pCO2 Sensor","pCO2,Total alkalinity,Dissolved inorganic carbon,Particulate organic carbon,Dissolved oxygen,Temperature,Salinity,Turbidity,Nutrients,Algal growth,Total algae,Phytoplankton,Chlorophyll-a,eDNA,Biological samples,Microbial analysis,""Species richness, evenness and diversity"",Trace metals,Total suspended solids,Dissolved organic carbon,Light level (PAR)",,,"https://www.google.de/maps/@22.6224334,114.6412113,11.42z?entry=ttu",,,"Existing infrastructure available,Existing laboratories nearby,Green alkalinity supply nearby,Low-cost construction possible,Near-shore,Historical MetOcean data available,Shallow water,Community Engagement",22.5500000,114.5200000,https://www.sustech.edu.cn/en/colleges/ocean-science-and-engineering.html
"Test impact of OAE on  a summer plankton community in Kiel Fjord, Germany",GEOMAR,,,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Approved and Scheduled,05/2024,June 2024,Weeks,"The goal of this study is three-fold: 1) establish potential differences in planktonic community responses an associate biogeochemical cycling upon the addtion of varying amounts of two widely proposed alkaline feedstocks (brucite and slaked lime), 2) using actual mineral feedstocks instead of simulating their addition with pre-dissolved freshwater solutions as done in many previous experiments, allowing to better assess the potential problem of secondary calcium carbonate precipitation upon reaching critical alkalinity thresholds, and 3) assess the role of seasonal variability in community responses and biogeochemical element cycling.",N/A,N/A,N/A,"Bigelow Laboratory for Ocean Sciences,Southern Cross University,University of Las Palmas Gran Canaria",Internal,"Internal, covering over 40 physicalm chemical and biological parameters","Tanks or Mesocosms,Bottle samples,CTD,Dive teams","Total alkalinity,pH,Dissolved inorganic carbon,Particulate inorganic carbon,Particulate organic carbon,Particulate organic nitrogen,Particulate organic phosphorus,Dissolved oxygen,Temperature,Salinity,Nutrients,Algal growth,Total algae,Phytoplankton,Chlorophyll-a,Biological samples,""Species richness, evenness and diversity"",Microbial analysis,Dissolved organic carbon,Biomass sinking speed,Light level (PAR),Sinking speed,CTD","We know that using pre-dissolved freshwater solutions to simulate mineral additions via respective particles allows for much more alkalinity to be added before secondary calcium carbonate precipitation will be observed. Hence, the need to test actual particles which are much more realistic when it comes to a real world application.","One experiment with the same experimental set up in autumn in Kiel Fjord, Germany","https://www.google.de/maps/@54.3288822,10.1557869,16.92z?entry=ttu",,,,54.3288822,10.1557869,https://alkalign.ocean.dal.ca/
" Assessing the impact of OAE on autumn plankton community in Kiel Fjord, Germany",GEOMAR,,,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,,09/2024,Nov. 2024,Weeks,"The goal of this study is three-fold: 1) establish potential differences in planktonic community responses and associated biogeochemical cycling upon the addition of varying amounts of two widely proposed alkaline feedstocks (brucite and slaked lime), 2) use actual mineral feedstocks instead of simulating their addition with pre-dissolved freshwater solutions as done in many previous experiments, allowing better assessment of the potential problem of secondary calcium carbonate precipitation upon reaching critical alkalinity thresholds, and 3) assess the role of seasonal variability in community responses and biogeochemical element cycling.","N/A
",N/A,N/A,"Bigelow Laboratory for Ocean Sciences,Southern Cross University,University of Las Palmas Gran Canaria",Internal,"Internal, covering over 40 physical, chemical, and biological parameters","Tanks or Mesocosms,Bottle samples,Dive teams,CTD","Total alkalinity,pH,Dissolved inorganic carbon,Particulate inorganic carbon,Particulate organic carbon,Particulate organic nitrogen,Particulate organic phosphorus,Dissolved oxygen,Temperature,Salinity,Nutrients,Algal growth,Total algae,Phytoplankton,Chlorophyll-a,Biological samples,Microbial analysis,""Species richness, evenness and diversity"",Dissolved organic carbon,Sinking speed,CTD,Light level (PAR)","We know that using pre-dissolved freshwater solutions to simulate mineral additions via respective particles allows for much more alkalinity to be added before secondary calcium carbonate precipitation will be observed. Hence, the need to test actual particles which are much more realistic when it comes to a real world application.",,"https://www.google.de/maps/@54.3288822,10.1557869,16.92z?entry=ttu",,,,54.3288822,10.1557869,https://alkalign.ocean.dal.ca/
WhaleX 1 Dispersion and productivity modeling,Ocean Nourishment Corporation,,Start-up,Ocean Nutrient Fertilization,Ocean Nutrient Fertilization,Concluded,12/2021,December 2021,Days,"The goals of the WhaleX1 trial were to demonstrate the first step in the ocean nourishment carbon dioxide removal (CDR) concept to increase the flux of carbon from the atmosphere to the ocean inspired by the biomimicry of whales. It involved observing the dispersion of the purposeful placement of 300 litres of AquaFood, containing limiting ocean nutrients, in the upper ocean off the East Coast of Australia in order to increase productivity at the base of the food chain. A modelling exercise was conducted in parallel to estimate the main biological carbon removal pathways from nutrients to the deep ocean. The exercise demonstrated that the WhaleX “AquaFood” could be prepared, transported, deployed and dispersed without causing high concentrations in the ocean. For the volume discharged during the exercise, it would be indeterminable above the background within two hours.",Do demonstrate the first step in the ocean nourishment process to move MRV forward,N/A,,,Verification-Third Party,For this demonstration we used third party verification from the University of NSW water research lab. The WhaleX team made the measurements using in-situ instruments and drones that were owned andd hired as well as modelling using in-house developed models based on peer reviewed parameterizations. The UNSW water research laboratory used thier in-house methodology to verify.,"Bottle samples,Boat-based measurements,Remotely Operated Vehicles,Satellites","pH,Temperature,Salinity,Wind speed,Wave height,Nutrients,Turbidity,Chlorophyll-a,Dye fluorescence ",Lessons learned include that due to the fast rate of nutrient plume dispersion addistional MRV experments will need to be conducted at sea using in a large mesocosm for verification.,Additional field trials have been conducted near to this location to develop a suitable mesocosm,"https://www.google.com/maps/place/34%C2%B003'58.5%22S+151%C2%B015'50.3%22E/@-34.0133045,151.1658828,11.25z/data=!4m7!1m2!2m1!1s-33.5+15120E!3m3!8m2!3d-34.066261!4d151.263984?entry=ttu",,,"Renewable energy nearby or self-generated,Long-term burial site within range,Existing infrastructure available,Offshore,Suitable ocean conditions (general),Deep water,Nutrient supply",-34.0133045,151.2000000,https://www.oceannourishment.com/
"SeaSINC, Barbados-Site 1",Seafields Solutions,"National Oceanography Center,Integrated Environmental Solutions,CERMES University of the West Indies",,Biomass Sinking ,Macroalgae Sequestration,Concluded,12/2023,not yet determined,Years,"The ‘Evaluating the effects of seaweed sinking in the Caribbean’ (SeaSINC) project aims to address critical knowledge gaps in our understanding of the effects of sinking seaweed on deep marine environments and ecosystems by conducting the first controlled, small-scale pilot study in the Caribbean. Specifically, the project will establish if, and how, the deposition of Sargassum onto the seafloor affects microbial, meio-, macro- and megafaunal communities and/or biogeochemical processes in the surrounding sediments and water column. Data generated through this study will fundamentally improve our understanding of the rate of Sargassum seaweed decomposition in deep marine environments, and the extent to which it may affect biogeochemical processes and ecosystem functioning. In doing so the project will help inform and evaluate the viability of seaweed sinking as a marine Carbon Dioxide Removal (mCDR) strategy, as well as its associated benefits and consequences.
Twenty-two 30x40x50cm sized bales of compressed Sargassum will be deposited at each experimental site, equivalent to approximately 440kg (wet weight). This would equate to ~78kg of CO2 being sequestered, though none of the Sargassum being deposited in this study will be counted towards carbon credits.
","The main goal of this study is to have a better understanding of the effects that sinking seaweed has on deep marine ecosystems and environments. This knowledge will be important for Seafields and other macroalgae CDR companies who need to prove that sinking seaweed to the deep sea does not pose any risks to the deep-sea environment. The results will also help local decision makers with permitting decisions around sinking Sargassum in their EEZ.  The study will also investigate decomposition rates of Sargassum on the deep-sea floor, which will help Seafields and other macroalgae CDR companies to better understand permanence and reduce uncertainty of their CDR approach. ",N/A,N/A,,N/A,"While no MRV will be done, monitoring that will inform Seafields future MRV strategy will be performed. NOC and INES will lead the monitoring with Seafields and UWI assisting. 
The site monitoring has the following objectives: 
O1. Establish the rate of Sargassum decomposition in abyssal settings. 
O2. Determine whether the decomposition of Sargassum increases the rate of oxygen consumption within the benthic environment. 
O3. Characterise the in situ microbial community response to the presence of Sargassum and the extent to which microbial degradation contributes to the decomposition of Sargassum. 
O4. Quantify any changes in meio-, macro- and mega-faunal biodiversity associated with the presence of Sargassum, and if/how these biota contribute to the decomposition of Sargassum. 
O5. Assess the fate of organic and inorganic carbon released from the Sargassum, including the extent to which any recalcitrant carbon is retained within the sediment, the amount lost into the overlying water column, and the expected duration of its retention within seawater. 
O6. Advance our understanding of the efficacy, ecological and economic viability of sinking seaweed in deep marine environments as a marine Carbon Dioxide Removal (mCDR) mechanism.
 ","Bottle samples,Boat-based measurements,Remotely Operated Vehicles,Deep-sea cameras,CTD,Oxygen Sensor,Benthic Lander","pH,Dissolved inorganic carbon,Particulate inorganic carbon,Particulate organic carbon,Current,Dissolved oxygen,Temperature,Salinity,Turbidity,Nutrients,Biological samples,Microbial analysis,""Species richness, evenness and diversity"",Trace metals,Sediment cores,Visual,Marine mammal detecion,Dissolved organic carbon,Biomass sinking speed,Carbon-13,Invertebrate community,CTD,Other,Multibeam bathymetry,Chemostratigraphy,Pore water geochemistry,Benthic chamber,Metatranscriptomic sequencing,Nitrogen 15,Near-seafloor video transects,High resolution imaging,Redox profiles in sediment samples,Meio- and macro-faunal community,Background sedimentation rates,Geophysical and geochemical properties of sediment,Carbon content of sediments,Carbon content of biomass","During the baseline site assessment research cruise a test deployment and recovery of Sargassum bales wrapped in hemp net  was conducted to verify deployment mechanisms. The tests, conducted with continual video recording in 4500m water depth, demonstrated that the sargassum bales did not lose biomass or change shape during deployment, hence are considered suited for deployment. ","Sargassum deployment is scheduled to happen in June 2024, with the first monitoring cruise scheduled for January 2025. We hope to extent the trial to include more follow up cruises at later dates. ","https://www.google.com/maps/place/13%C2%B010'24.6%22N+59%C2%B047'38.2%22W/@13.1735,-60.1209482,10z/data=!4m4!3m3!8m2!3d13.1735!4d-59.7939333?entry=ttu",,,,13.1735000,-59.7939000,https://www.seafields.eco/seasinc
"SeaSINC, Barbados-Site 2",Seafields Solutions,"National Oceanography Center,Integrated Environmental Solutions,CERMES University of the West Indies",,Biomass Sinking ,Macroalgae Sequestration,Concluded,12/2023,not yet determined,Years,"The ‘Evaluating the effects of seaweed sinking in the Caribbean’ (SeaSINC) project aims to address critical knowledge gaps in our understanding of the effects of sinking seaweed on deep marine environments and ecosystems by conducting the first controlled, small-scale pilot study in the Caribbean. Specifically, the project will establish if, and how, the deposition of Sargassum onto the seafloor affects microbial, meio-, macro- and megafaunal communities and/or biogeochemical processes in the surrounding sediments and water column. Data generated through this study will fundamentally improve our understanding of the rate of Sargassum seaweed decomposition in deep marine environments, and the extent to which it may affect biogeochemical processes and ecosystem functioning. In doing so the project will help inform and evaluate the viability of seaweed sinking as a marine Carbon Dioxide Removal (mCDR) strategy, as well as its associated benefits and consequences.
Twenty-two 30x40x50cm sized bales of compressed Sargassum will be deposited at each experimental site, equivalent to approximately 440kg (wet weight). This would equate to ~78kg of CO2 being sequestered, though none of the Sargassum being deposited in this study will be counted towards carbon credits.
","The main goal of this study is to have a better understanding of the effects that sinking seaweed has on deep marine ecosystems and environments. This knowledge will be important for Seafields and other macroalgae CDR companies who need to prove that sinking seaweed to the deep sea does not pose any risks to the deep-sea environment. The results will also help local decision makers with permitting decisions around sinking Sargassum in their EEZ.  The study will also investigate decomposition rates of Sargassum on the deep-sea floor, which will help Seafields and other macroalgae CDR companies to better understand permanence and reduce uncertainty of their CDR approach. ",N/A,N/A,,N/A,"While no MRV will be done, monitoring that will inform Seafields future MRV strategy will be performed. NOC and INES will lead the monitoring with Seafields and UWI assisting. 
The site monitoring has the following objectives: 
O1. Establish the rate of Sargassum decomposition in abyssal settings. 
O2. Determine whether the decomposition of Sargassum increases the rate of oxygen consumption within the benthic environment. 
O3. Characterise the in situ microbial community response to the presence of Sargassum and the extent to which microbial degradation contributes to the decomposition of Sargassum. 
O4. Quantify any changes in meio-, macro- and mega-faunal biodiversity associated with the presence of Sargassum, and if/how these biota contribute to the decomposition of Sargassum. 
O5. Assess the fate of organic and inorganic carbon released from the Sargassum, including the extent to which any recalcitrant carbon is retained within the sediment, the amount lost into the overlying water column, and the expected duration of its retention within seawater. 
O6. Advance our understanding of the efficacy, ecological and economic viability of sinking seaweed in deep marine environments as a marine Carbon Dioxide Removal (mCDR) mechanism.
 ","Bottle samples,Boat-based measurements,Remotely Operated Vehicles,Deep-sea cameras,CTD,Oxygen Sensor,Benthic Lander","pH,Dissolved inorganic carbon,Particulate inorganic carbon,Particulate organic carbon,Current,Dissolved oxygen,Temperature,Salinity,Turbidity,Nutrients,Biological samples,Microbial analysis,""Species richness, evenness and diversity"",Trace metals,Sediment cores,Visual,Marine mammal detecion,Dissolved organic carbon,Biomass sinking speed,Carbon-13,Invertebrate community,CTD,Other,Multibeam bathymetry,Chemostratigraphy,Pore water geochemistry,Benthic chamber,Metatranscriptomic sequencing,Nitrogen 15,Near-seafloor video transects,High resolution imaging,Redox profiles in sediment samples,Meio- and macro-faunal community,Background sedimentation rates,Geophysical and geochemical properties of sediment,Carbon content of sediments,Carbon content of biomass","During the baseline site assessment research cruise a test deployment and recovery of Sargassum bales wrapped in hemp net  was conducted to verify deployment mechanisms. The tests, conducted with continual video recording in 4500m water depth, demonstrated that the sargassum bales did not lose biomass or change shape during deployment, hence are considered suited for deployment. ","Sargassum deployment is scheduled to happen in June 2024, with the first monitoring cruise scheduled for January 2025. We hope to extent the trial to include more follow up cruises at later dates. ","https://www.google.com/maps/place/12%C2%B019'30.1%22N+57%C2%B006'24.0%22W/@12.3250385,-62.3801037,6z/data=!4m4!3m3!8m2!3d12.3250333!4d-57.1066667?entry=ttu",,,,12.3250000,-57.1066700,https://www.seafields.eco/seasinc
"Cultivated giant kelp forests in Luderitz, Namibia ",Kelp Blue,Kelp Forest Foundation,Start-up,Macroalgae Sequestration,Macroalgae Sequestration,Operating,11/2022,July 2025,Years,"Piloting near- and offshore giant kelp forest cultivation to support carbon sequestration in deeper ocean sediments and ocean waters, by modelling and quantifying the sequestration pathways similar to natural kelp forests. Inform methodology development. ",Inform methodology development and quantify carbon sequestration. ,N/A,N/A,,Several,"1. Collaborate with consultants to develop methodology, and collaborating with MRV providers to develop MRV for kelp cultivation. 
2. Measurements in-house, verification by MRV. Open to change. 
3. Combination of self-owned / contributed sensors. 
4. N/A
5. Gold Standard methodology in development. ","Bottle samples,Remotely Operated Vehicles,Autonomous Underwater Vehicles (AUV),Moorings,Drones,Satellites,Underwater cameras,Dive teams,pCO2 Sensor,Oxygen Sensor","Particulate organic carbon,Dissolved oxygen,pH,Total alkalinity,pCO2,Salinity,Temperature,Phytoplankton,eDNA,""Species richness, evenness and diversity"",Nutrients,Algal growth,Turbidity,Chlorophyll-a,Total algae,Marine mammal detecion,Sediment cores,Dissolved organic carbon,Carbon13,Seaweed growth rate,Carbon content of sediments,Carbon content of biomass",,,https://maps.app.goo.gl/EkEMHQS4QHfPQJHG6,"Sunlight,Seawater,Macroalgae sporophytes ,Nutrients,""Supplementary nutrients (phosphorus, nitrogen)""","Macroalgae biomass,Grown biomass","Near-shore,Offshore,Long-term burial site within range,Macroalgae supply,Suitable ocean conditions (general)",-26.6333325,14.9455000,https://kelp.blue
"Ocean Alkalinity Enhancement field study, Tasmania 2024",Other,,Academic,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Approved and Scheduled,09/2024,early 2025,Months,Our study focuses (1) on the effects of alkaline mineral on sediment in fauna and (2) alkalinity fluxes and whether the addition of anthropogenic alkalinity will influence the natural alkalinity cycle.,"N/A
",N/A,N/A,,Internal,We are not aiming to quantify exact amounts of CO2 potentially sequestered. Our focus is (1) on the effects of alkaline mineral on sediment in fauna and (2) alkalinity fluxes and whether the addition of anthropogenic alkalinity will influence the natural alkalinity cycle.,"Boat-based measurements,Dive teams,CTD,Benthic Flux Chambers","Total alkalinity,pH,Dissolved inorganic carbon,Particulate inorganic carbon,Particulate organic carbon,Particulate organic nitrogen,Salinity,Temperature,Dissolved oxygen,Nutrients,Microbial analysis,Biological samples,Trace metals,Visual,Sediment cores,Dry mass,Light level (PAR),Pore water geochemistry,Benthic chamber,Geophysical and geochemical properties of sediment,Carbon content of sediments,Benthic fauna analysis",,"possibly, depending on learnings in the first study","Norfolk Bay, Tasmania",,,,-42.9699833,147.7697002,https://appliedbgc.imas.utas.edu.au/oae-field-study-2024/
